run_index,sample,linker_length,linker_conc,temperature,meansize,msd,1/eta,cbeta,beta,norm_1/eta,norm_cbeta,norm_beta,pc1,pc2,pc3
2,21,10,1,35,7.0140624,1.684320471,0.018712457855334787,0.21339430683565855,0.066931886,0.15386334870497176,-0.316997032,-0.227778557,0.14806738640612682,-0.391841199,0.024096547
2,22,10,10,20,7.615249573,1.79240115,0.010631474424676325,0.25117679675495896,0.081275984,-0.182340727,-0.124305636,0.020907167724064653,-0.02738215,-0.040453392,-0.216219524
2,22,10,10,25,7.615249573,1.79240115,0.009107358,0.19588259035525504,0.094590669,-0.27435638,-0.41821099,0.25174578391639313,0.21329285831210715,-0.035424392,-0.516525957
2,22,10,10,30,7.615249573,1.79240115,0.019915723,0.1734000162484821,0.089338715,0.19092265774977638,-0.562319063,0.1606918945990348,0.5263089162060199,-0.249751328,-0.197735364
2,22,10,10,35,7.615249573,1.79240115,0.014970432606807214,0.17132801226811123,0.090542297,0.021187016900674954,-0.576528698,0.181558577,0.4434968822061177,-0.222853458,-0.345607577
2,31,15,1,20,6.930337457,1.725377925,0.025953689,0.2111762765512366,0.085715274,0.34839152262106343,-0.329347551,0.097871777,0.45322330320856097,-0.170809293,0.069556956
2,31,15,1,25,6.930337457,1.725377925,0.034527299506429965,0.16901365288366485,0.11302349594137617,0.5181296108080279,-0.592604996,0.571318397,0.9689921278853424,0.010259312295929175,-0.083622293
2,31,15,1,30,6.930337457,1.725377925,0.075170252,0.15030177204890624,0.11043408445938403,0.9807793060332279,-0.731299447,0.5264253926905669,1.3029204563868935,-0.164754491,0.22159617559020478
2,31,15,1,35,6.930337457,1.725377925,0.087553296,0.13643295148070234,0.12004287093163546,1.0714604936927594,-0.845735256,0.693014323,1.515579765100154,-0.11826701,0.1805421108605816
3,0,0,0,20,8.732567275,1.851698905,0.000628778,1.4733814003536359,0.001,-1.863921779,1.966917477268676,-1.370849263,-3.011900498,0.38813885362057965,0.000284105
3,0,0,0,25,8.732567275,1.851698905,0.000571865,0.8690277205741597,0.001,-1.920340033,1.342868764016318,-1.370849263,-2.688760797,0.004457082,-0.375200712
3,0,0,0,30,8.732567275,1.851698905,0.002529035,0.5979908747287213,0.016005495,-1.036263356,0.9010212261362727,-1.110696811,-1.757599764,-0.173575327,0.006563229
3,11,5,1,20,8.052703646,1.683347233,0.014354464377299272,0.36672558475408784,0.054731563,-0.003798333,0.32304697947422395,-0.439297326,-0.430830195,-0.13656814,0.30510720153327103
3,11,5,1,25,8.052703646,1.683347233,0.020916027134861463,0.2675082840872321,0.064134851,0.2200647517021941,-0.049844571,-0.276271151,0.008237411,-0.269886656,0.23309239125914613
3,11,5,1,30,8.052703646,1.683347233,0.017657383952538963,0.21450564865099772,0.077871114,0.11935190859982653,-0.310857008,-0.038123568,0.22888430934556894,-0.237640574,-0.05890072
3,11,5,1,35,8.052703646,1.683347233,0.019275115388969175,0.17307934146370463,0.076615946,0.17148043537513988,-0.564507083,-0.059884599,0.3934946247958935,-0.419087644,-0.145559193
3,12,5,10,20,7.605303434,1.613058962,0.00641179,0.351630624,0.03880043,-0.483049387,0.27336261347874174,-0.715497711,-0.845021503,-0.325217287,-0.0131597
3,12,5,10,25,7.605303434,1.613058962,0.013276163882202312,0.2124109864405954,0.05528604,-0.050235895,-0.322456477,-0.42968428,-0.084050211,-0.527404434,-0.076879976
3,12,5,10,30,7.605303434,1.613058962,0.023588497662842933,0.1611930444526859,0.072380801,0.29156891464945006,-0.648606485,-0.133309921,0.47344701794862887,-0.542262987,-0.072616203
3,12,5,10,35,7.605303434,1.613058962,0.038411745217330595,0.14362842249336077,0.092269396,0.581528232,-0.784982598,0.2115015403353281,0.9178622363632649,-0.395063286,-0.023655449
3,13,5,100,20,7.949661118,1.645987335,0.012277573960708716,0.3694628321659499,0.068808568,-0.096735975,0.33183701760662854,-0.195242247,-0.356650363,0.068045244,0.16051029098155337
3,13,5,100,25,7.949661118,1.645987335,0.018939327008758028,0.23130480462188785,0.075063204,0.16102964695616506,-0.221730563,-0.086804716,0.17604278697455347,-0.224309382,0.036390749
3,13,5,100,30,7.949661118,1.645987335,0.062402336,0.1647552992424502,0.096643836,0.8700813919691563,-0.622768587,0.28734184426800735,1.041348475094641,-0.268558777,0.2663028604019469
3,13,5,100,35,7.949661118,1.645987335,0.4523068994426566,0.0905615,0.16091109249984553,2.0479618367769112,-1.330141803,1.401552630299432,2.7755843400854276,0.012398264073386749,0.4730248742470583
